context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n
jc4,SMAPE,Future Absence,0.5057474496080798,RNN,2,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.5147046883134729,RNN,3,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.5124746192804345,RNN,4,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.5135517511067497,RNN,5,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.511501121361067,RNN,6,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.5119759708336834,RNN,7,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.5167456826596663,RNN,8,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.5154094916449766,RNN,9,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.5157255651910929,RNN,10,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.51957670566484,RNN,11,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.5148154690592726,RNN,12,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.516154162102563,RNN,13,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.517630017050441,RNN,14,23119.362962007523,640621,56,4
jc4,SMAPE,Future Absence,0.5153825712459074,RNN,15,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.14276412258610777,RNN,2,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.14272368542203007,RNN,3,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.14434773536741566,RNN,4,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.1458358671447808,RNN,5,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.14792435941791018,RNN,6,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.15191576274487847,RNN,7,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.1534252418187199,RNN,8,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.15341488954606627,RNN,9,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.15290775034892667,RNN,10,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.15476579267244617,RNN,11,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.15485722154872747,RNN,12,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.15908862065362492,RNN,13,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.15980325156612468,RNN,14,23119.362962007523,640621,56,4
jc4,SMAPE,Future Active Time,0.16014564096751463,RNN,15,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.4028551093841774,RNN,2,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.4014534859840963,RNN,3,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.40248786035343226,RNN,4,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.40325051151418184,RNN,5,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.40258754178600414,RNN,6,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.405603776837961,RNN,7,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.4055792054505694,RNN,8,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.40480403220753697,RNN,9,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.4056657379110107,RNN,10,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.4050322496390966,RNN,11,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.40497982707703517,RNN,12,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.40636229724758427,RNN,13,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.407474343365078,RNN,14,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Time,0.40613391854912,RNN,15,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.3998678894892369,RNN,2,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.4126762193685641,RNN,3,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.4133436651153379,RNN,4,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.4152163918500489,RNN,5,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.4130109080249545,RNN,6,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.41289297100291983,RNN,7,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.41493305575556955,RNN,8,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.41743433451221523,RNN,9,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.41805697953018917,RNN,10,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.41536156560695237,RNN,11,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.41637553254007353,RNN,12,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.41730830272617275,RNN,13,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.4229438565476853,RNN,14,23119.362962007523,640621,56,4
jc4,SMAPE,Future Session Activity,0.42274843417193325,RNN,15,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.5790660615492292,RNN,2,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.48883458117287126,RNN,3,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.44968146312638607,RNN,4,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.4247230925298919,RNN,5,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.4104125188886854,RNN,6,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.4068433708282944,RNN,7,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.4024283440606627,RNN,8,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.40056122036053227,RNN,9,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.39588913194802605,RNN,10,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.38728438977336627,RNN,11,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.3836423572598778,RNN,12,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.389717150706108,RNN,13,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.400839820247212,RNN,14,23119.362962007523,640621,56,4
jc4,SMAPE,Future N° Sessions,0.40084123698960583,RNN,15,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5750787613178964,RNN,2,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5751068340025172,RNN,3,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5719228065081139,RNN,4,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5669907707466635,RNN,5,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5640415560709937,RNN,6,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5694443260685821,RNN,7,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5695704559321305,RNN,8,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5671388855318039,RNN,9,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5778834645105986,RNN,10,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5776858671190045,RNN,11,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5776260566462974,RNN,12,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5761367052724305,RNN,13,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5852342825436208,RNN,14,23119.362962007523,640621,56,4
lis,SMAPE,Future Absence,0.5769328066729565,RNN,15,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.16284120701483418,RNN,2,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.16550822537824725,RNN,3,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.1627406395724883,RNN,4,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.16120570727557992,RNN,5,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.15675337735957423,RNN,6,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.15732697031897075,RNN,7,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.1603762678677179,RNN,8,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.1630539190114574,RNN,9,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.1644582175448621,RNN,10,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.16468804337302145,RNN,11,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.16803303257119606,RNN,12,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.17203609723356156,RNN,13,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.17062822871219632,RNN,14,23119.362962007523,640621,56,4
lis,SMAPE,Future Active Time,0.17660394134027915,RNN,15,23119.362962007523,640621,56,4
lis,SMAPE,Future Session Time,0.414711729995445,RNN,2,23119.362962007523,640621,56,4
lis,SMAPE,Future Session Time,0.41742198271393827,RNN,3,23119.362962007523,640621,56,4
lis,SMAPE,Future Session Time,0.41238214983199667,RNN,4,23119.362962007523,640621,56,4
lis,SMAPE,Future Session Time,0.40709354353557087,RNN,5,23119.362962007523,640621,56,4
lis,SMAPE,Future Session Time,0.3986151577746631,RNN,6,23119.362962007523,640621,56,4
lis,SMAPE,Future Session Time,0.4039163042809487,RNN,7,23119.362962007523,640621,56,4
lis,SMAPE,Future Session Time,0.4005202558208862,RNN,8,23119.362962007523,640621,56,4
lis,SMAPE,Future Session Time,0.40126308872034466,RNN,9,23119.362962007523,640621,56,4
